"words","out","Freq"
"on","to",39
"ready","to",39
"seems","to",39
"since","the",39
"talk","about",39
"that","this",39
"the","public",39
"the","st",39
"the","united",39
"theres","a",39
"to","live",39
"to","put",39
"all","i",38
"and","an",38
"and","for",38
"better","than",38
"between","the",38
"but","you",38
"day","and",38
"deal","with",38
"dont","have",38
"for","him",38
"full","of",38
"is","just",38
"or","not",38
"so","it",38
"that","can",38
"to","share",38
"to","that",38
"we","re",38
"won","t",38
"you","should",38
"and","as",37
"but","that",37
"continue","to",37
"even","if",37
"first","time",37
"has","to",37
"i","might",37
"in","front",37
"less","than",37
"listening","to",37
"love","the",37
"see","what",37
"so","the",37
"tell","you",37
"the","big",37
"the","national",37
"they","re",37
"think","that",37
"to","an",37
"to","hear",37
"to","show",37
"united","states",37
"was","just",37
"wasn","t",37
"what","a",37
"what","it",37
"will","not",37
"a","real",36
"at","my",36
"because","it",36
"can","get",36
"do","with",36
"for","it",36
"get","it",36
"has","the",36
"have","had",36
"here","is",36
"if","youre",36
"in","all",36
"in","its",36
"interested","in",36
"is","also",36
"know","the",36
"like","this",36
"my","own",36
"need","a",36
"out","for",36
"out","on",36
"the","kids",36
"the","night",36
"to","eat",36
"to","pay",36
"top","of",36
"wait","to",36
"was","so",36
"were","in",36
"with","it",36
"with","their",36
"your","own",36
"day","of",35
"do","a",35
"for","her",35
"for","those",35
"he","will",35
"i","also",35
"it","seems",35
"looking","forward",35
"make","sure",35
"more","of",35
"of","time",35
"the","idea",35
"the","truth",35
"then","the",35
"time","in",35
"we","could",35
"well","i",35
"which","was",35
"you","cant",35
"a","book",34
"about","to",34
"all","my",34
"and","one",34
"and","when",34
"are","going",34
"could","not",34
"focus","on",34
"for","years",34
"front","of",34
"go","on",34
"i","believe",34
"it","up",34
"much","of",34
"on","her",34
"one","that",34
"only","one",34
"she","had",34
"sort","of",34
"supposed","to",34
"the","company",34
"the","point",34
"then","i",34
"to","stop",34
"use","of",34
"was","an",34
"was","going",34
"was","one",34
"were","the",34
"what","was",34
"while","the",34
"why","i",34
"work","with",34
"you","may",34
"a","different",33
"about","this",33
"and","has",33
"and","im",33
"do","that",33
"down","to",33
"from","his",33
"hope","you",33
"i","didn",33
"it","just",33
"may","not",33
"my","mind",33
"on","an",33
"pick","up",33
"ready","for",33
"she","has",33
"take","the",33
"thanks","to",33
"the","back",33
"to","stay",33
"told","me",33
"was","to",33
"who","had",33
"with","you",33
"you","had",33
"you","in",33
"your","life",33
"a","bad",32
"all","that",32
"and","what",32
"because","he",32
"before","i",32
"believe","that",32
"but","in",32
"but","there",32
"have","you",32
"i","miss",32
"it","can",32
"it","for",32
"its","the",32
"made","a",32
"my","favorite",32
"no","matter",32
"on","our",32
"opportunity","to",32
"out","a",32
"plans","to",32
"said","in",32
"the","latest",32
"the","main",32
"the","man",32
"the","road",32
"the","word",32
"they","will",32
"to","leave",32
"told","the",32
"was","on",32
"we","all",32
"we","do",32
"a","woman",31
"and","get",31
"and","said",31
"and","some",31
"at","am",31
"be","on",31
"but","a",31
"but","im",31
"came","to",31
"have","an",31
"i","felt",31
"i","see",31
"in","some",31
"it","does",31
"it","doesnt",31
"life","and",31
"listen","to",31
"love","it",31
"me","the",31
"members","of",31
"no","longer",31
"of","which",31
"people","are",31
"people","in",31
"said","they",31
"t","be",31
"that","in",31
